,ID,MAASQ1_1_6,MAASQ2_1_6,MAASQ3_1_6,MAASQ4_1_6,MAASQ5_1_6,MAASQ6_1_6,MAASQ7_1_6,MAASQ8_1_6,MAASQ9_1_6,MAASQ10_1_6,MAASQ11_1_6,MAASQ12_1_6,MAASQ13_1_6,MAASQ14_1_6,MAASQ15_1_6,SPANEQ1_1_5,SPANEQ2_1_5,SPANEQ3_1_5,SPANEQ4_1_5,SPANEQ5_1_5,SPANEQ6_1_5,SPANEQ7_1_5,SPANEQ8_1_5,SPANEQ9_1_5,SPANEQ10_1_5,SPANEQ11_1_5,SPANEQ12_1_5,PWBQ1_1_7,PWBQ2_1_7,PWBQ3_1_7,PWBQ4_1_7,PWBQ5_1_7,PWBQ6_1_7,PWBQ7_1_7,PWBQ8_1_7,PSTQ1_0_1,PSTQ2_0_1,PSTQ3_0_1,PSTQ4_0_1,PSTQ5_0_1,PSTQ6_0_1,PSTQ7_0_1,PSTQ8_0_1,PSTQ9_0_1,PSTQ10_0_1,PSTQ11_0_1,PSTQ12_0_1,PSTQ13_0_1,PSTQ14_0_1,PSTQ15_0_1,PSTQ16_0_1,PSTQ17_0_1,PSTQ18_0_1,PSTQ19_0_1,PSTQ20_0_1,PSTQ21_0_1,PSTQ22_0_1,SEQ1_1_4,SEQ2_1_4,SEQ3_1_4,SEQ4_1_4,SEQ5_1_4,SEQ6_1_4,SEQ7_1_4,SEQ8_1_4,SEQ9_1_4,SEQ10_1_4,PPHQ1_1_5,PPHQ2_1_5,PPHQ3_1_5,PPHQ4_1_5,PPHQ5_1_5,PPHQ6_1_5,PPHQ7_1_5,PPRQ1_1_10,PPRQ2_1_10,PPRQ3_1_10,PPOQ1_1_7,Age,Gender_0_1,Occupation_0_1,Living_1_4,t,Experiment_1_2
76,83,Very infrequently,Very frequently,Somewhat frequently,Somewhat infrequently,Somewhat frequently,Almost always,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Very infrequently,Very frequently,Almost never,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Sometimes,Very rarely or never,Rarely,Rarely,Rarely,Rarely,Sometimes,Very often or always,Very often or always,Sometimes,Sometimes,Rarely,Mixed or neither agree nor disagree,Agree,Agree,Agree,Slightly agree,Mixed or neither agree nor disagree,Slightly disagree,Slightly disagree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Rather true,Rather true,Hardly true,Hardly true,Hardly true,Hardly true,Hardly true,Hardly true,Hardly true,Rather true,All of the time,None of the time,A little of the time,Most of the time,Most of the time,Most of the time,A little of the time,4,3,6,You were somewhat better than other workers,28,2,1,2,0,1
78,85,Somewhat frequently,Very infrequently,Somewhat infrequently,Somewhat infrequently,Almost never,Almost always,Very infrequently,Very infrequently,Almost never,Almost never,Very infrequently,Almost never,Very infrequently,Very infrequently,Almost never,Sometimes,Sometimes,Often,Sometimes,Often,Often,Sometimes,Rarely,Often,Sometimes,Very often or always,Often,Strongly agree,Agree,Agree,Agree,Slightly agree,Agree,Slightly agree,Slightly agree,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Rather true,Rather true,Rather true,Exactly true,Rather true,Rather true,Hardly true,Hardly true,Rather true,Rather true,Some of the time,A little of the time,A little of the time,Some of the time,Most of the time,Some of the time,A little of the time,7,9,8,You were about average,43,1,2,1,0,1
79,85,Somewhat infrequently,Almost never,Very infrequently,Very infrequently,Almost never,Very frequently,Almost never,Almost never,Very infrequently,Almost never,Very infrequently,Almost never,Very infrequently,Very infrequently,Almost never,Sometimes,Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Often,Often,Sometimes,Often,Agree,Agree,Slightly agree,Agree,Slightly agree,Slightly agree,Agree,Slightly agree,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Rather true,Rather true,Rather true,Rather true,Hardly true,Rather true,Hardly true,Hardly true,Rather true,Hardly true,Some of the time,A little of the time,A little of the time,A little of the time,A little of the time,A little of the time,Some of the time,6,8,8,You were somewhat better than other workers,43,1,2,1,1,1
80,86,Somewhat frequently,Very infrequently,Somewhat frequently,Very frequently,Somewhat infrequently,Very infrequently,Very infrequently,Almost never,Very infrequently,Very infrequently,Very frequently,Very infrequently,Very frequently,Very infrequently,Somewhat infrequently,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Often,Sometimes,Often,Sometimes,Rarely,Sometimes,Disagree,Disagree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Slightly agree,Mixed or neither agree nor disagree,Slightly disagree,Mixed or neither agree nor disagree,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Rather true,Rather true,Hardly true,Hardly true,Hardly true,Hardly true,Hardly true,Hardly true,Hardly true,Hardly true,Some of the time,Some of the time,Some of the time,Most of the time,A little of the time,Most of the time,None of the time,7,5,7,You were about average,44,2,2,4,0,1
81,86,Somewhat frequently,Very infrequently,Somewhat frequently,Very infrequently,Very infrequently,Somewhat frequently,Somewhat frequently,Very infrequently,Somewhat infrequently,Very infrequently,Very frequently,Somewhat frequently,Almost always,Very frequently,Very infrequently,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Very rarely or never,Rarely,Very often or always,Sometimes,Rarely,Very rarely or never,Disagree,Strongly disagree,Disagree,Disagree,Mixed or neither agree nor disagree,Disagree,Disagree,Slightly agree,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Rather true,Hardly true,Not true,Hardly true,Hardly true,Hardly true,Hardly true,Not true,Hardly true,Hardly true,None of the time,Some of the time,A little of the time,Some of the time,A little of the time,Most of the time,None of the time,7,6,6,You were about average,44,2,2,4,1,1
82,88,Almost never,Somewhat frequently,Almost always,Almost never,Very infrequently,Almost always,Somewhat frequently,Somewhat frequently,Very frequently,Somewhat infrequently,Almost always,Very infrequently,Almost always,Somewhat frequently,Almost never,Often,Very rarely or never,Sometimes,Sometimes,Often,Very rarely or never,Often,Rarely,Rarely,Often,Rarely,Often,Agree,Mixed or neither agree nor disagree,Slightly agree,Mixed or neither agree nor disagree,Slightly agree,Strongly agree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Hardly true,Rather true,Not true,Hardly true,Hardly true,Hardly true,Rather true,Rather true,Rather true,Hardly true,Some of the time,Some of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,8,7,6,You were about average,26,2,1,4,0,1
84,89,Very infrequently,Very infrequently,Somewhat infrequently,Very frequently,Very infrequently,Somewhat infrequently,Very frequently,Somewhat frequently,Very frequently,Very frequently,Somewhat frequently,Somewhat frequently,Almost always,Somewhat frequently,Very frequently,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Often,Often,Strongly agree,Agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Rather true,Rather true,Not true,Rather true,Rather true,Hardly true,Rather true,Hardly true,Rather true,Not true,A little of the time,Some of the time,None of the time,A little of the time,Most of the time,Most of the time,Some of the time,6,8,5,You were about average,33,2,2,3,0,1
85,89,Very infrequently,Almost never,Somewhat frequently,Somewhat frequently,Almost never,Very infrequently,Somewhat frequently,Somewhat frequently,Very frequently,Somewhat infrequently,Very frequently,Somewhat frequently,Almost always,Somewhat infrequently,Somewhat frequently,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Rarely,Sometimes,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Exactly true,Rather true,Rather true,Hardly true,Exactly true,Rather true,Exactly true,Rather true,Rather true,Rather true,Some of the time,Some of the time,Most of the time,A little of the time,A little of the time,A little of the time,A little of the time,6,6,8,You were a lot better than other workers,33,2,2,3,1,1
86,90,Very infrequently,Almost never,Very infrequently,Somewhat infrequently,Somewhat frequently,Almost always,Very frequently,Somewhat frequently,Somewhat infrequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Very frequently,Very frequently,Very infrequently,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Often,Sometimes,Agree,Slightly agree,Agree,Agree,Agree,Agree,Mixed or neither agree nor disagree,Agree,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Rather true,Rather true,Hardly true,Not true,Hardly true,Hardly true,Rather true,Hardly true,Hardly true,Hardly true,Some of the time,Some of the time,A little of the time,Some of the time,None of the time,A little of the time,A little of the time,7,8,9,You were a little better than other workers,58,1,2,4,0,1
87,90,Very infrequently,Almost never,Somewhat frequently,Very frequently,Almost never,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Somewhat frequently,Somewhat infrequently,Almost never,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Often,Very often or always,Sometimes,Agree,Slightly agree,Agree,Agree,Agree,Agree,Mixed or neither agree nor disagree,Agree,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Exactly true,Exactly true,Rather true,Rather true,Rather true,Rather true,Exactly true,Exactly true,Rather true,Rather true,Some of the time,A little of the time,A little of the time,A little of the time,None of the time,A little of the time,Some of the time,7,9,8,You were somewhat better than other workers,58,1,2,4,1,1
88,93,Very infrequently,Almost never,Somewhat frequently,Very infrequently,Somewhat infrequently,Very frequently,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Very infrequently,Very frequently,Almost never,Very frequently,Somewhat frequently,Very infrequently,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Disagree,Disagree,Slightly disagree,Agree,Agree,Strongly agree,Slightly agree,Mixed or neither agree nor disagree,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Exactly true,Exactly true,Exactly true,Hardly true,Hardly true,Rather true,Not true,Not true,Hardly true,Hardly true,All of the time,None of the time,None of the time,None of the time,None of the time,A little of the time,A little of the time,7,9,6,You were about average,50,1,2,4,0,1
89,93,Almost never,Almost never,Somewhat infrequently,Very frequently,Very frequently,Very frequently,Somewhat infrequently,Very frequently,Somewhat frequently,Somewhat frequently,Very infrequently,Very infrequently,Somewhat frequently,Somewhat frequently,Very infrequently,Often,Sometimes,Often,Rarely,Often,Often,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Mixed or neither agree nor disagree,Agree,Mixed or neither agree nor disagree,Agree,Slightly agree,Strongly agree,Slightly disagree,Slightly agree,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Rather true,Rather true,Not true,Not true,Not true,Rather true,Hardly true,Not true,Not true,Hardly true,Some of the time,Some of the time,A little of the time,Most of the time,Most of the time,Some of the time,Most of the time,4,6,4,You were somewhat worse than other workers,50,1,2,4,1,1
90,98,Very infrequently,Somewhat infrequently,Almost never,Very infrequently,Very infrequently,Almost always,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Somewhat infrequently,Almost never,Almost never,Very infrequently,Very infrequently,Often,Sometimes,Often,Very often or always,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Exactly true,Exactly true,Rather true,Rather true,Rather true,Exactly true,Rather true,Exactly true,Rather true,Hardly true,Most of the time,A little of the time,A little of the time,Some of the time,A little of the time,A little of the time,None of the time,5,8,8,You were somewhat better than other workers,46,1,2,4,0,1
91,101,Very frequently,Almost never,Almost never,Somewhat infrequently,Very frequently,Very frequently,Somewhat infrequently,Very infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Almost never,Somewhat infrequently,Very infrequently,Almost never,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Slightly agree,Slightly agree,Agree,Agree,Slightly agree,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Exactly true,Exactly true,Rather true,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Most of the time,None of the time,A little of the time,A little of the time,None of the time,A little of the time,Some of the time,7,9,9,You were a lot better than other workers,41,1,2,4,0,1
92,104,Somewhat frequently,Very infrequently,Almost always,Very frequently,Very frequently,Almost always,Very frequently,Very frequently,Almost always,Somewhat frequently,Very frequently,Almost never,Very frequently,Very frequently,Somewhat frequently,Sometimes,Rarely,Sometimes,Rarely,Rarely,Very rarely or never,Sometimes,Rarely,Very often or always,Sometimes,Sometimes,Rarely,Mixed or neither agree nor disagree,Slightly agree,Disagree,Slightly disagree,Disagree,Slightly agree,Agree,Slightly agree,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Exactly true,Rather true,Hardly true,Not true,Not true,Hardly true,Rather true,Not true,Hardly true,Rather true,Some of the time,A little of the time,A little of the time,Some of the time,A little of the time,Some of the time,None of the time,7,7,5,You were about average,24,1,1,3,0,1
93,105,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Somewhat infrequently,Very frequently,Very frequently,Somewhat frequently,Somewhat infrequently,Almost always,Somewhat frequently,Somewhat infrequently,Somewhat frequently,Almost always,Somewhat frequently,Very infrequently,Sometimes,Rarely,Rarely,Often,Sometimes,Sometimes,Often,Often,Very rarely or never,Sometimes,Sometimes,Often,Slightly agree,Slightly agree,Slightly agree,Mixed or neither agree nor disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Rather true,Rather true,Not true,Hardly true,Hardly true,Not true,Not true,Hardly true,Hardly true,Rather true,Most of the time,None of the time,None of the time,Some of the time,A little of the time,None of the time,Some of the time,6,8,7,You were a little better than other workers,40,1,2,1,0,1
94,106,Very infrequently,Almost never,Very infrequently,Very frequently,Somewhat infrequently,Very frequently,Very infrequently,Very infrequently,Almost never,Very infrequently,Very frequently,Almost never,Almost never,Very infrequently,Almost never,Often,Sometimes,Sometimes,Sometimes,Often,Often,Rarely,Very often or always,Often,Rarely,Sometimes,Sometimes,Agree,Mixed or neither agree nor disagree,Strongly agree,Slightly agree,Strongly agree,Mixed or neither agree nor disagree,Strongly disagree,Strongly agree,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Exactly true,Rather true,Rather true,Hardly true,Rather true,Rather true,Hardly true,Rather true,Rather true,Rather true,Most of the time,A little of the time,A little of the time,A little of the time,A little of the time,None of the time,Some of the time,6,8,8,You were somewhat better than other workers,37,2,2,4,0,1
96,114,Somewhat frequently,Very frequently,Somewhat frequently,Somewhat frequently,Very infrequently,Somewhat frequently,Very infrequently,Somewhat frequently,Somewhat frequently,Very infrequently,Very infrequently,Almost never,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Often,Very often or always,Often,Sometimes,Often,Agree,Agree,Slightly agree,Strongly agree,Slightly agree,Agree,Slightly agree,Agree,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Rather true,Exactly true,Rather true,Hardly true,Rather true,Rather true,Rather true,Hardly true,Hardly true,Rather true,Most of the time,A little of the time,Some of the time,A little of the time,None of the time,A little of the time,Some of the time,9,9,9,You were a little better than other workers,33,1,2,3,0,1
97,114,Somewhat infrequently,Somewhat frequently,Somewhat infrequently,Somewhat frequently,Somewhat infrequently,Very frequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Very infrequently,Very frequently,Somewhat frequently,Somewhat frequently,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Often,Rarely,Very often or always,Sometimes,Agree,Agree,Slightly agree,Strongly agree,Slightly agree,Agree,Slightly agree,Agree,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Rather true,Rather true,Hardly true,Rather true,Rather true,Rather true,Hardly true,Rather true,Rather true,Hardly true,Some of the time,A little of the time,A little of the time,Some of the time,Some of the time,A little of the time,Most of the time,8,8,6,You were a little worse than other workers,33,1,2,3,1,1
98,117,Almost never,Very infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Almost always,Very infrequently,Very infrequently,Somewhat infrequently,Very infrequently,Somewhat infrequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Very often or always,Sometimes,Very often or always,Often,Very often or always,Sometimes,Very often or always,Sometimes,Rarely,Very often or always,Often,Often,Slightly agree,Agree,Slightly agree,Agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Exactly true,Exactly true,Rather true,Rather true,Exactly true,Exactly true,Exactly true,Exactly true,Rather true,Rather true,Some of the time,None of the time,None of the time,A little of the time,None of the time,Some of the time,None of the time,7,7,6,You were a little better than other workers,26,1,2,2,0,1
99,118,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very infrequently,Very frequently,Very frequently,Very frequently,Somewhat infrequently,Almost never,Very frequently,Somewhat frequently,Somewhat frequently,Very frequently,Sometimes,Very rarely or never,Sometimes,Rarely,Rarely,Sometimes,Often,Often,Sometimes,Sometimes,Often,Sometimes,Disagree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Slightly agree,Agree,Mixed or neither agree nor disagree,Disagree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Rather true,Exactly true,Rather true,Rather true,Exactly true,Exactly true,Hardly true,Rather true,Rather true,Exactly true,Some of the time,Some of the time,Most of the time,Most of the time,Some of the time,Most of the time,None of the time,7,8,7,You were about average,41,1,2,1,0,1
100,119,Very infrequently,Very infrequently,Very frequently,Very frequently,Somewhat frequently,Almost always,Very frequently,Very frequently,Somewhat frequently,Somewhat frequently,Very frequently,Very frequently,Very frequently,Very frequently,Somewhat infrequently,Rarely,Rarely,Sometimes,Rarely,Sometimes,Often,Sometimes,Very rarely or never,Rarely,Rarely,Rarely,Rarely,Slightly agree,Slightly agree,Disagree,Slightly agree,Agree,Agree,Slightly agree,Agree,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Exactly true,Exactly true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Hardly true,A little of the time,Some of the time,A little of the time,A little of the time,A little of the time,Some of the time,Some of the time,7,8,6,You were a little better than other workers,48,1,2,1,0,1
101,121,Very frequently,Very frequently,Very frequently,Very frequently,Very infrequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Almost always,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Often,Sometimes,Sometimes,Rarely,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Hardly true,Hardly true,Hardly true,Not true,Not true,Hardly true,Hardly true,Hardly true,Hardly true,Hardly true,Most of the time,None of the time,A little of the time,A little of the time,None of the time,A little of the time,A little of the time,7,9,9,You were a lot better than other workers,52,1,2,1,0,1
103,122,Very infrequently,Somewhat frequently,Somewhat infrequently,Somewhat infrequently,Very infrequently,Very frequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Somewhat infrequently,Very infrequently,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Often,Often,Often,Sometimes,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Slightly agree,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Rather true,Rather true,Hardly true,Rather true,Rather true,Rather true,Hardly true,Hardly true,Rather true,Hardly true,Some of the time,Some of the time,A little of the time,Some of the time,Some of the time,Most of the time,Some of the time,8,5,3,You were a little worse than other workers,42,1,2,4,1,1
104,125,Somewhat frequently,Very frequently,Almost always,Almost always,Somewhat infrequently,Very infrequently,Somewhat frequently,Very frequently,Somewhat infrequently,Almost never,Somewhat frequently,Somewhat frequently,Very frequently,Almost always,Somewhat infrequently,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Rarely,Sometimes,Very often or always,Very rarely or never,Slightly agree,Agree,Slightly agree,Mixed or neither agree nor disagree,Slightly agree,Strongly agree,Disagree,Agree,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Hardly true,Not true,Rather true,Rather true,Not true,Not true,Hardly true,Not true,Not true,Not true,Some of the time,Some of the time,Some of the time,Most of the time,Most of the time,Most of the time,Most of the time,7,8,7,You were about average,31,1,2,3,0,1
105,128,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Very infrequently,Often,Rarely,Often,Rarely,Often,Sometimes,Often,Sometimes,Often,Rarely,Sometimes,Often,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Exactly true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Most of the time,A little of the time,None of the time,Some of the time,A little of the time,A little of the time,A little of the time,7,8,9,You were a little better than other workers,58,1,2,1,0,1
106,128,Very frequently,Somewhat frequently,Very frequently,Somewhat frequently,Very frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Very frequently,Very frequently,Very frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Almost never,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Rarely,Sometimes,Often,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Hardly true,Rather true,A little of the time,None of the time,None of the time,Some of the time,Some of the time,Some of the time,Some of the time,7,8,9,You were somewhat better than other workers,58,1,2,1,1,1
107,132,Somewhat frequently,Somewhat frequently,Very frequently,Very frequently,Very frequently,Very frequently,Somewhat frequently,Very frequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Somewhat frequently,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Very rarely or never,Rarely,Rarely,Rarely,Disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Disagree,Mixed or neither agree nor disagree,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Rather true,Rather true,Hardly true,Hardly true,Hardly true,Hardly true,Hardly true,Rather true,Hardly true,Hardly true,Most of the time,A little of the time,None of the time,Some of the time,A little of the time,None of the time,Some of the time,8,8,7,You were a lot better than other workers,55,1,2,1,0,1
108,134,Somewhat frequently,Somewhat frequently,Very frequently,Very frequently,Somewhat frequently,Almost always,Somewhat frequently,Somewhat infrequently,Somewhat infrequently,Very infrequently,Very frequently,Somewhat infrequently,Almost never,Somewhat frequently,Somewhat infrequently,Often,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Often,Very often or always,Sometimes,Often,Often,Sometimes,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Agree,Agree,Agree,Agree,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,A little of the time,Most of the time,Most of the time,Most of the time,Some of the time,Most of the time,A little of the time,6,6,2,You were a little worse than other workers,46,2,2,4,0,1
110,137,Somewhat frequently,Very frequently,Very frequently,Very frequently,Very frequently,Almost always,Very frequently,Almost always,Almost always,Very frequently,Almost always,Somewhat infrequently,Very frequently,Very frequently,Somewhat infrequently,Often,Sometimes,Often,Often,Sometimes,Often,Often,Often,Sometimes,Often,Often,Often,Slightly agree,Mixed or neither agree nor disagree,Slightly agree,Slightly agree,Strongly agree,Mixed or neither agree nor disagree,Agree,Agree,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Rather true,Exactly true,Rather true,Hardly true,Rather true,Hardly true,Exactly true,Rather true,Rather true,Hardly true,Most of the time,A little of the time,Some of the time,Most of the time,A little of the time,Most of the time,Most of the time,7,8,8,You were a little better than other workers,27,1,1,3,0,1
